Symbol,Date,Buy Time,Sell Time,Qty,Buy Price,Sell Price,Gross PnL,Charges,Net PnL,Exit Reason,E_Sig,E_EMA,E_ROC,E_BBW,X_Sig,X_EMA,X_ROC,X_BBW
NIFTY26JAN25150CE,2026-01-27,2026-01-27 09:39:50,2026-01-27 09:40:02,65,70.9,64.6,-409.50000000000074,7.83,-417.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 09:40:18,2026-01-27 09:40:36,65,66.9,68.15,81.25,7.81,73.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 09:41:32,2026-01-27 09:41:40,65,69.8,65.6,-273.00000000000017,7.83,-280.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 09:42:10,2026-01-27 09:42:39,65,66.65,69.5,185.24999999999963,7.87,177.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 09:43:29,2026-01-27 09:43:52,65,81.0,93.85,835.2499999999997,10.11,825.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 09:46:40,2026-01-27 09:46:51,65,89.4,84.1,-344.50000000000074,10.03,-354.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 09:47:09,2026-01-27 09:47:31,65,83.9,94.35,679.2499999999993,10.31,668.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 09:48:25,2026-01-27 09:48:36,65,101.25,97.65,-233.99999999999963,11.5,-245.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 09:49:46,2026-01-27 09:50:15,65,97.9,95.6,-149.50000000000074,11.19,-160.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 09:51:31,2026-01-27 09:51:44,65,95.2,98.15,191.75000000000017,11.18,180.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25200CE,2026-01-27,2026-01-27 10:01:00,2026-01-27 10:01:10,65,59.95,62.9,191.74999999999972,7.1,184.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25200CE,2026-01-27,2026-01-27 10:01:32,2026-01-27 10:02:05,65,67.0,62.9,-266.5000000000001,7.51,-274.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25200CE,2026-01-27,2026-01-27 10:03:13,2026-01-27 10:03:28,65,58.65,56.7,-126.74999999999972,6.67,-133.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25200CE,2026-01-27,2026-01-27 10:03:41,2026-01-27 10:04:14,65,59.2,57.9,-84.50000000000028,6.77,-91.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25050PE,2026-01-27,2026-01-27 10:06:33,2026-01-27 10:06:42,65,46.15,49.55,220.99999999999991,5.53,215.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25050PE,2026-01-27,2026-01-27 10:08:15,2026-01-27 10:08:37,65,54.05,61.0,451.75000000000017,6.65,445.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25050PE,2026-01-27,2026-01-27 10:10:00,2026-01-27 10:10:23,65,52.9,53.6,45.500000000000185,6.16,39.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
